Total Applicants,Permits Issued,Reports Returned,Hunters,Hunter Success,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
100,1,1,1,100%,0,1,1,0,1,0,0,0
916,2,1,1,100%,0,1,1,0,0,0,0,1
"1,043",31,24,23,61%,0,14,14,3,1,1,4,5
432,2,2,2,0%,0,0,0,0,0,0,0,0
196,2,2,2,0%,0,0,0,0,0,0,0,0
138,1,1,1,100%,0,1,1,0,0,0,0,1
132,1,1,1,100%,0,1,1,0,0,0,0,1
266,2,2,2,100%,0,2,2,0,0,0,0,2
"1,126",7,7,7,71%,0,5,5,1,0,0,0,4
243,4,4,3,67%,0,2,2,0,0,0,0,2
115,1,1,1,100%,0,1,1,0,0,0,0,1
335,3,2,2,100%,0,2,2,0,0,0,1,1
114,1,1,1,0%,0,0,0,0,0,0,0,0
610,2,2,2,100%,0,2,2,0,0,0,0,2
20,1,1,1,0%,0,0,0,0,0,0,0,0
98,2,1,1,100%,0,1,1,0,0,0,0,1
138,1,1,1,100%,0,1,1,0,0,0,0,1
151,1,1,1,0%,0,0,0,0,0,0,0,0
175,2,2,2,100%,0,2,2,0,0,0,0,2
162,2,2,2,0%,0,0,0,0,0,0,0,0
191,5,5,5,80%,0,4,4,0,0,0,0,4
114,1,0,0,0%,0,0,0,0,0,0,0,0
15,1,1,1,100%,0,1,1,0,0,0,0,1
44,2,1,1,0%,0,0,0,0,0,0,0,0
"1,262",5,2,2,100%,0,2,2,0,0,0,0,2
352,2,2,2,50%,0,1,1,0,0,0,0,1
766,8,8,8,25%,0,2,2,0,0,0,0,2
560,13,10,10,20%,0,2,2,0,0,0,0,2
485,4,4,3,0%,0,0,0,0,0,0,0,0
200,9,8,8,25%,0,2,2,0,0,0,0,2
375,12,9,9,33%,0,3,3,0,1,0,0,2
213,4,3,2,0%,0,0,0,0,0,0,0,0
160,20,15,14,50%,0,7,7,0,0,0,0,7
466,8,5,5,40%,0,2,2,0,0,1,0,1
612,17,12,11,18%,0,2,2,1,0,0,1,0
177,1,0,0,0%,0,0,0,0,0,0,0,0
290,2,2,2,50%,0,1,1,0,0,0,1,0
764,7,4,4,50%,0,2,2,0,0,0,1,1
134,1,1,1,0%,0,0,0,0,0,0,0,0
674,18,10,10,40%,0,4,4,0,0,0,0,4
24,1,1,1,100%,0,1,1,0,0,0,0,1
70,1,1,1,100%,0,1,1,0,0,0,0,1
111,1,0,0,0%,0,0,0,0,0,0,0,0
128,1,0,0,0%,0,0,0,0,0,0,0,0
66,1,1,1,100%,0,1,1,0,0,0,0,1
80,1,1,1,0%,0,0,0,0,0,0,0,0
202,4,4,4,50%,0,2,2,0,0,0,0,2
111,1,0,0,0%,0,0,0,0,0,0,0,0
14,1,1,1,0%,0,0,0,0,0,0,0,0
39,2,2,2,50%,0,1,1,0,0,0,0,1
407,2,2,2,100%,0,2,2,0,0,0,0,2
"1,302",4,4,4,25%,0,1,1,0,0,0,0,1
119,1,1,1,100%,0,1,1,0,0,0,0,1
574,3,2,2,50%,0,1,1,0,0,0,0,1
463,5,5,4,50%,0,2,2,0,0,0,0,2
259,1,1,1,100%,0,1,1,0,0,0,0,1
236,1,1,1,0%,0,0,0,0,0,0,0,0
263,5,3,3,67%,0,2,2,0,0,0,0,2
328,2,2,2,100%,0,2,2,1,0,0,0,1
228,8,5,5,60%,0,3,3,1,0,0,0,2
616,8,7,7,57%,0,4,4,0,0,0,0,4
544,10,9,8,50%,0,4,4,0,0,1,1,2
197,1,1,1,0%,0,0,0,0,0,0,0,0
264,2,2,2,50%,0,1,1,0,0,0,0,1
705,6,6,6,100%,0,6,6,0,0,0,2,4
216,2,2,2,50%,0,1,1,0,0,0,1,0
301,10,10,9,22%,2,0,2,0,0,0,0,0
156,5,4,4,50%,2,0,2,0,0,0,0,0
249,10,9,6,33%,2,0,2,0,0,0,0,0
388,10,7,6,50%,3,0,3,0,0,0,0,0
690,10,7,6,67%,4,0,4,0,0,0,0,0
645,10,9,7,14%,1,0,1,0,0,0,0,0
451,4,4,3,33%,1,0,1,0,0,0,0,0
445,5,4,2,50%,1,0,1,0,0,0,0,0
116,10,8,4,0%,0,0,0,0,0,0,0,0
284,19,10,9,11%,1,0,1,0,0,0,0,0
461,5,3,3,33%,1,0,1,0,0,0,0,0
83,5,3,2,0%,0,0,0,0,0,0,0,0
258,5,4,4,75%,3,0,3,0,0,0,0,0
181,13,8,8,38%,3,0,3,0,0,0,0,0
679,19,14,11,55%,6,0,6,0,0,0,0,0
"1,110",55,43,37,49%,18,0,18,0,0,0,0,0
478,19,11,9,78%,7,0,7,0,0,0,0,0
"3,510",52,42,38,55%,21,0,21,0,0,0,0,0
521,5,5,5,80%,4,0,4,0,0,0,0,0
828,25,18,14,36%,5,0,5,0,0,0,0,0
"1,309",178,124,100,20%,20,0,20,0,0,0,0,0
"2,440",129,96,87,30%,26,0,26,0,0,0,0,0
"2,271",122,93,80,44%,35,0,35,0,0,0,0,0
"2,299",124,97,79,38%,30,0,30,0,0,0,0,0
952,9,6,6,50%,3,0,3,0,0,0,0,0
"1,020",15,10,9,22%,2,0,2,0,0,0,0,0
"1,361",10,9,8,50%,4,0,4,0,0,0,0,0
"1,511",144,107,96,29%,28,0,28,0,0,0,0,0
"1,510",76,52,47,62%,29,0,29,0,0,0,0,0
508,38,36,28,50%,14,0,14,0,0,0,0,0
575,38,31,28,54%,15,0,15,0,0,0,0,0
180,1,1,1,0%,0,0,0,0,0,0,0,0
756,5,5,5,60%,3,0,3,0,0,0,0,0
255,20,15,7,14%,1,0,1,0,0,0,0,0
"1,011",19,15,13,69%,9,0,9,0,0,0,0,0
701,5,3,3,33%,1,0,1,0,0,0,0,0
612,5,5,4,50%,2,0,2,0,0,0,0,0
774,15,14,10,50%,5,0,5,0,0,0,0,0
736,5,5,5,20%,1,0,1,0,0,0,0,0
"1,459",5,4,3,100%,3,0,3,0,0,0,0,0
"1,282",10,7,7,29%,2,0,2,0,0,0,0,0
347,5,4,2,50%,1,0,1,0,0,0,0,0
644,5,5,5,20%,1,0,1,0,0,0,0,0
308,5,5,5,0%,0,0,0,0,0,0,0,0
295,5,4,4,0%,0,0,0,0,0,0,0,0
201,3,2,1,100%,1,0,1,0,0,0,0,0
796,3,3,3,67%,2,0,2,0,0,0,0,0
281,10,10,9,78%,7,0,7,0,0,0,0,0
304,19,16,13,77%,10,0,10,0,0,0,0,0
190,9,6,5,80%,4,0,4,0,0,0,0,0
169,10,3,1,100%,1,0,1,0,0,0,0,0
148,10,4,4,100%,4,0,4,0,0,0,0,0
92,5,4,2,0%,0,0,0,0,0,0,0,0
866,47,39,36,50%,18,0,18,0,0,0,0,0
71,4,4,3,0%,0,0,0,0,0,0,0,0
110,12,10,8,0%,0,0,0,0,0,0,0,0
104,20,13,9,22%,2,0,2,0,0,0,0,0
"1,119",74,52,45,38%,17,0,17,0,0,0,0,0
387,19,15,8,0%,0,0,0,0,0,0,0,0
349,93,63,45,2%,1,0,1,0,0,0,0,0
211,97,66,41,2%,1,0,1,0,0,0,0,0
518,139,104,86,10%,9,0,9,0,0,0,0,0
427,172,128,87,16%,14,0,14,0,0,0,0,0
371,29,22,17,18%,3,0,3,0,0,0,0,0
336,30,22,15,0%,0,0,0,0,0,0,0,0
429,50,42,32,13%,4,0,4,0,0,0,0,0
457,98,72,64,20%,13,0,13,0,0,0,0,0
373,98,66,51,10%,5,0,5,0,0,0,0,0
180,5,4,2,0%,0,0,0,0,0,0,0,0
437,10,7,4,0%,0,0,0,0,0,0,0,0
152,3,2,2,0%,0,0,0,0,0,0,0,0
364,5,4,3,33%,1,0,1,0,0,0,0,0
277,5,4,4,75%,3,0,3,0,0,0,0,0
142,3,2,1,0%,0,0,0,0,0,0,0,0
196,87,60,31,3%,1,0,1,0,0,0,0,0
65,10,6,6,0%,0,0,0,0,0,0,0,0
23,5,3,1,0%,0,0,0,0,0,0,0,0
44,10,6,4,0%,0,0,0,0,0,0,0,0
94,10,9,8,13%,1,0,1,0,0,0,0,0
212,20,17,12,42%,5,0,5,0,0,0,0,0
141,10,8,5,40%,2,0,2,0,0,0,0,0
125,8,8,5,20%,1,0,1,0,0,0,0,0
139,8,6,4,25%,1,0,1,0,0,0,0,0
120,15,7,5,20%,1,0,1,0,0,0,0,0
78,5,3,0,0%,0,0,0,0,0,0,0,0
18,10,4,3,0%,0,0,0,0,0,0,0,0
27,5,4,3,0%,0,0,0,0,0,0,0,0
70,20,16,13,31%,4,0,4,0,0,0,0,0
256,45,35,30,37%,11,0,11,0,0,0,0,0
"1,269",35,31,25,56%,14,0,14,0,0,0,0,0
230,20,14,11,18%,2,0,2,0,0,0,0,0
438,97,67,53,6%,3,0,3,0,0,0,0,0
669,97,73,64,9%,6,0,6,0,0,0,0,0
530,84,63,54,19%,10,0,10,0,0,0,0,0
347,10,3,3,33%,1,0,1,0,0,0,0,0
406,10,6,5,60%,3,0,3,0,0,0,0,0
460,9,6,6,33%,2,0,2,0,0,0,0,0
629,58,42,37,46%,17,0,17,0,0,0,0,0
159,43,35,25,40%,10,0,10,0,0,0,0,0
254,15,10,8,50%,4,0,4,0,0,0,0,0
290,4,3,3,33%,1,0,1,0,0,0,0,0
153,5,4,3,0%,0,0,0,0,0,0,0,0
150,5,4,4,0%,0,0,0,0,0,0,0,0
176,10,9,7,0%,0,0,0,0,0,0,0,0
139,5,4,1,100%,1,0,1,0,0,0,0,0
59,3,2,1,0%,0,0,0,0,0,0,0,0
158,3,3,3,0%,0,0,0,0,0,0,0,0
371,5,5,5,20%,1,0,1,0,0,0,0,0
392,5,3,3,0%,0,0,0,0,0,0,0,0
187,5,2,2,0%,0,0,0,0,0,0,0,0
155,5,3,2,50%,1,0,1,0,0,0,0,0
205,4,4,2,0%,0,0,0,0,0,0,0,0
291,24,23,18,50%,9,0,9,0,0,0,0,0
47,1,0,0,0%,0,0,0,0,0,0,0,0
89,2,2,0,0%,0,0,0,0,0,0,0,0
55,10,8,2,0%,0,0,0,0,0,0,0,0
304,18,14,10,60%,6,0,6,0,0,0,0,0
358,25,21,18,50%,9,0,9,0,0,0,0,0
408,20,10,8,50%,4,0,4,0,0,0,0,0
164,6,3,2,0%,0,0,0,0,0,0,0,0
36,5,1,1,0%,0,0,0,0,0,0,0,0
51,5,3,2,0%,0,0,0,0,0,0,0,0
94,5,3,3,67%,2,0,2,0,0,0,0,0
25,5,3,0,0%,0,0,0,0,0,0,0,0
94,3,1,1,0%,0,0,0,0,0,0,0,0
36,2,1,0,0%,0,0,0,0,0,0,0,0
185,10,6,6,67%,4,0,4,0,0,0,0,0
607,35,25,20,50%,10,0,10,0,0,0,0,0
367,5,5,5,60%,3,0,3,0,0,0,0,0
348,24,16,13,54%,7,0,7,0,0,0,0,0
242,20,10,9,33%,3,0,3,0,0,0,0,0
40,37,24,17,0%,0,0,0,0,0,0,0,0
30,14,7,4,0%,0,0,0,0,0,0,0,0
80,25,20,17,35%,6,0,6,0,0,0,0,0
56,10,8,7,29%,2,0,2,0,0,0,0,0
60,15,12,10,80%,8,0,8,0,0,0,0,0
355,8,4,4,75%,0,3,3,0,0,0,0,3
118,6,3,1,100%,1,0,1,0,0,0,0,0
302,1,0,0,0%,0,0,0,0,0,0,0,0
75,1,1,1,100%,1,0,1,0,0,0,0,0
25,10,5,2,0%,0,0,0,0,0,0,0,0
112,5,5,5,80%,4,0,4,0,0,0,0,0
123,2,2,1,0%,0,0,0,0,0,0,0,0
707,5,2,1,100%,0,1,1,0,0,0,1,0
376,5,3,1,100%,1,0,1,0,0,0,0,0
112,10,9,8,38%,3,0,3,0,0,0,0,0
284,10,7,6,83%,5,0,5,0,0,0,0,0
151,5,4,4,50%,2,0,2,0,0,0,0,0
45,5,1,1,100%,1,0,1,0,0,0,0,0
52,10,8,7,0%,0,0,0,0,0,0,0,0
90,10,5,2,100%,2,0,2,0,0,0,0,0
58,4,2,2,50%,1,0,1,0,0,0,0,0
60,5,3,3,67%,2,0,2,0,0,0,0,0
29,5,5,4,0%,0,0,0,0,0,0,0,0
79,10,7,6,67%,4,0,4,0,0,0,0,0
75,6,5,2,50%,1,0,1,0,0,0,0,0
108,10,8,6,83%,5,0,5,0,0,0,0,0
46,9,7,4,75%,3,0,3,0,0,0,0,0
5,2,1,1,0%,0,0,0,0,0,0,0,0
16,2,2,1,100%,1,0,1,0,0,0,0,0
70,10,3,2,50%,1,0,1,0,0,0,0,0
42,7,5,1,100%,1,0,1,0,0,0,0,0
362,1,1,1,100%,0,1,1,0,0,0,0,1
251,9,9,7,43%,3,0,3,0,0,0,0,0
73,3,2,1,0%,0,0,0,0,0,0,0,0
96,1,1,1,0%,0,0,0,0,0,0,0,0
25,1,1,1,0%,0,0,0,0,0,0,0,0
44,2,2,1,100%,1,0,1,0,0,0,0,0
253,10,6,5,60%,3,0,3,0,0,0,0,0
"1,067",10,9,8,25%,2,0,2,0,0,0,0,0
659,5,5,5,60%,3,0,3,0,0,0,0,0
510,5,5,4,50%,2,0,2,0,0,0,0,0
214,7,6,3,0%,0,0,0,0,0,0,0,0
163,15,11,9,33%,3,0,3,0,0,0,0,0
88,10,9,6,17%,1,0,1,0,0,0,0,0
250,5,5,2,100%,2,0,2,0,0,0,0,0
208,5,5,4,100%,4,0,4,0,0,0,0,0
180,5,4,4,50%,2,0,2,0,0,0,0,0
221,5,2,1,0%,0,0,0,0,0,0,0,0
144,5,4,4,75%,3,0,3,0,0,0,0,0
130,3,3,2,100%,2,0,2,0,0,0,0,0
118,5,3,3,0%,0,0,0,0,0,0,0,0
106,5,1,0,0%,0,0,0,0,0,0,0,0
23,1,1,0,0%,0,0,0,0,0,0,0,0
62,1,1,0,0%,0,0,0,0,0,0,0,0
347,5,5,4,100%,4,0,4,0,0,0,0,0
53,4,3,3,100%,3,0,3,0,0,0,0,0
76,5,4,3,67%,2,0,2,0,0,0,0,0
21,3,2,1,100%,1,0,1,0,0,0,0,0
24,1,1,1,0%,0,0,0,0,0,0,0,0
9,1,1,0,0%,0,0,0,0,0,0,0,0
7,1,1,1,0%,0,0,0,0,0,0,0,0
303,1,0,0,0%,0,0,0,0,0,0,0,0
363,2,1,1,100%,0,1,1,0,0,0,0,1
113,10,6,5,60%,3,0,3,0,0,0,0,0
370,15,11,8,25%,2,0,2,0,0,0,0,0
219,5,4,3,67%,2,0,2,0,0,0,0,0
182,5,3,2,100%,2,0,2,0,0,0,0,0
165,4,4,2,50%,0,1,1,0,0,0,0,1
33,2,2,2,100%,0,2,2,0,0,0,0,2
80,5,4,3,67%,2,0,2,0,0,0,0,0
238,5,4,3,67%,2,0,2,0,0,0,0,0
370,5,2,2,100%,0,2,2,0,0,0,0,2
55,4,4,4,50%,2,0,2,0,0,0,0,0
101,5,2,0,0%,0,0,0,0,0,0,0,0
70,3,2,2,0%,0,0,0,0,0,0,0,0
33,1,1,1,0%,0,0,0,0,0,0,0,0
17,1,1,0,0%,0,0,0,0,0,0,0,0
20,2,2,2,100%,2,0,2,0,0,0,0,0
252,5,3,3,100%,3,0,3,0,0,0,0,0
80,5,4,3,0%,0,0,0,0,0,0,0,0
65,20,16,5,20%,1,0,1,0,0,0,0,0
52,10,5,3,0%,0,0,0,0,0,0,0,0
148,20,12,1,100%,1,0,1,0,0,0,0,0
50,20,12,6,33%,2,0,2,0,0,0,0,0
73,13,9,4,100%,4,0,4,0,0,0,0,0
61,10,6,2,50%,1,0,1,0,0,0,0,0
61,2,2,2,100%,2,0,2,0,0,0,0,0
48,3,2,2,100%,2,0,2,0,0,0,0,0
74,30,14,5,80%,4,0,4,0,0,0,0,0
14,5,2,0,0%,0,0,0,0,0,0,0,0
76,20,10,4,50%,2,0,2,0,0,0,0,0
71,15,12,12,67%,8,0,8,0,0,0,0,0
55,10,5,5,100%,5,0,5,0,0,0,0,0
74,15,11,9,67%,6,0,6,0,0,0,0,0
503,1,0,0,0%,0,0,0,0,0,0,0,0
619,1,0,0,0%,0,0,0,0,0,0,0,0
"1,024",1,0,0,0%,0,0,0,0,0,0,0,0
"2,096",2,1,1,100%,0,1,1,0,0,0,0,1
833,4,2,1,100%,0,1,1,0,0,0,0,1
"1,960",4,3,3,67%,0,2,2,0,0,0,0,2
"4,736",16,13,12,75%,0,9,9,0,0,1,0,8
"4,163",15,15,13,54%,0,7,7,0,0,0,1,6
"2,127",9,9,9,44%,0,4,4,0,0,0,2,2
"2,205",10,9,9,33%,0,3,3,0,0,0,0,3
"2,281",39,30,28,36%,0,10,10,1,2,1,0,6
"1,839",5,5,5,40%,0,2,2,0,0,0,0,2
628,6,6,6,83%,0,5,5,0,0,0,0,5
797,1,1,1,100%,0,1,1,0,0,0,0,1
726,1,1,1,100%,0,1,1,0,0,0,0,1
"1,035",3,3,3,100%,0,3,3,0,0,0,1,2
483,7,6,6,33%,0,2,2,0,0,0,0,2
441,5,5,5,40%,0,2,2,0,0,0,0,2
"1,337",43,35,31,61%,0,19,19,3,0,0,2,14
301,1,0,0,0%,0,0,0,0,0,0,0,0
664,1,1,1,0%,0,0,0,0,0,0,0,0
324,9,7,7,57%,0,4,4,0,0,1,0,3
557,2,2,2,0%,0,0,0,0,0,0,0,0
497,1,1,0,0%,0,0,0,0,0,0,0,0
716,3,2,2,0%,0,0,0,0,0,0,0,0
342,5,5,4,0%,0,0,0,0,0,0,0,0
184,5,4,0,0%,0,0,0,0,0,0,0,0
288,4,3,3,0%,0,0,0,0,0,0,0,0
270,4,2,0,0%,0,0,0,0,0,0,0,0
276,1,1,1,0%,0,0,0,0,0,0,0,0
570,1,1,1,0%,0,0,0,0,0,0,0,0
341,6,1,1,100%,0,1,1,1,0,0,0,0
339,2,1,1,100%,0,1,1,0,0,0,0,1
325,1,1,1,100%,0,1,1,0,0,0,0,1
469,3,3,2,0%,0,0,0,0,0,0,0,0
229,5,5,2,50%,0,1,1,0,0,0,0,1
216,3,1,1,100%,0,1,1,0,0,0,0,1
219,1,1,1,100%,0,1,1,0,0,0,0,1
846,8,6,6,67%,0,4,4,0,0,0,0,4
115,25,20,12,42%,2,3,5,0,0,0,0,3
"24,174","1,000",0,0,0%,0,0,0,0,0,0,0,0
