Total Applicants,Permits Issued,Reports Returned,Hunters,Hunter Success,Antlerless Harvest,Antlered Harvest,Total Harvest,1 Point,2 Point,3 Point,4 Point,5+ Point
683,21,16,9,56%,5,0,5,0,0,0,0,0
543,10,5,4,75%,3,0,3,0,0,0,0,0
600,15,14,8,13%,1,0,1,0,0,0,0,0
194,15,12,6,0%,0,0,0,0,0,0,0,0
395,25,16,7,14%,1,0,1,0,0,0,0,0
526,20,15,9,22%,2,0,2,0,0,0,0,0
421,5,3,3,33%,1,0,1,0,0,0,0,0
529,30,23,16,38%,6,0,6,0,0,0,0,0
382,15,12,8,38%,3,0,3,0,0,0,0,0
255,10,7,3,0%,0,0,0,0,0,0,0,0
241,10,9,6,17%,1,0,1,0,0,0,0,0
293,20,19,15,40%,6,0,6,0,0,0,0,0
559,5,5,4,75%,3,0,3,0,0,0,0,0
419,20,18,8,38%,3,0,3,0,0,0,0,0
269,5,5,3,67%,2,0,2,0,0,0,0,0
83,10,8,1,0%,0,0,0,0,0,0,0,0
588,10,9,8,88%,7,0,7,0,0,0,0,0
175,10,6,1,0%,0,0,0,0,0,0,0,0
156,9,4,0,0%,0,0,0,0,0,0,0,0
152,10,7,4,75%,3,0,3,0,0,0,0,0
171,10,9,8,75%,6,0,6,0,0,0,0,0
448,193,140,77,36%,28,0,28,0,0,0,0,0
43,5,3,2,100%,2,0,2,0,0,0,0,0
137,10,8,6,17%,1,0,1,0,0,0,0,0
67,10,5,1,100%,1,0,1,0,0,0,0,0
39,11,8,5,40%,2,0,2,0,0,0,0,0
34,4,3,3,67%,2,0,2,0,0,0,0,0
26,5,4,3,33%,1,0,1,0,0,0,0,0
37,10,6,2,0%,0,0,0,0,0,0,0,0
32,5,2,0,0%,0,0,0,0,0,0,0,0
41,9,7,5,20%,1,0,1,0,0,0,0,0
66,10,10,4,100%,4,0,4,0,0,0,0,0
32,2,1,0,0%,0,0,0,0,0,0,0,0
80,25,23,16,6%,1,0,1,0,0,0,0,0
29,20,16,11,18%,2,0,2,0,0,0,0,0
58,34,26,17,6%,1,0,1,0,0,0,0,0
38,10,5,2,0%,0,0,0,0,0,0,0,0
42,26,15,8,0%,0,0,0,0,0,0,0,0
83,30,21,14,64%,9,0,9,0,0,0,0,0
32,20,15,6,0%,0,0,0,0,0,0,0,0
34,8,6,4,0%,0,0,0,0,0,0,0,0
21,5,5,2,0%,0,0,0,0,0,0,0,0
47,5,4,3,0%,0,0,0,0,0,0,0,0
31,5,5,4,0%,0,0,0,0,0,0,0,0
354,5,3,1,100%,1,0,1,0,0,0,0,0
237,5,3,3,33%,1,0,1,0,0,0,0,0
403,5,5,0,0%,0,0,0,0,0,0,0,0
451,5,3,1,100%,1,0,1,0,0,0,0,0
347,5,3,0,0%,0,0,0,0,0,0,0,0
286,5,3,1,100%,1,0,1,0,0,0,0,0
382,5,5,0,0%,0,0,0,0,0,0,0,0
495,45,32,22,64%,14,0,14,0,0,0,0,0
160,10,9,2,0%,0,0,0,0,0,0,0,0
920,5,5,4,25%,1,0,1,0,0,0,0,0
283,5,5,2,50%,1,0,1,0,0,0,0,0
536,63,45,29,45%,13,0,13,0,0,0,0,0
195,5,3,1,0%,0,0,0,0,0,0,0,0
779,90,64,43,72%,31,0,31,0,0,0,0,0
188,5,2,1,0%,0,0,0,0,0,0,0,0
944,90,64,49,78%,38,0,38,0,0,0,0,0
268,5,4,3,100%,3,0,3,0,0,0,0,0
217,5,5,2,100%,2,0,2,0,0,0,0,0
"1,657",353,256,195,70%,136,0,136,0,0,0,0,0
971,5,3,1,0%,0,0,0,0,0,0,0,0
562,5,4,4,75%,3,0,3,0,0,0,0,0
292,5,5,2,50%,1,0,1,0,0,0,0,0
444,5,4,2,50%,1,0,1,0,0,0,0,0
193,5,3,2,0%,0,0,0,0,0,0,0,0
239,5,5,3,33%,1,0,1,0,0,0,0,0
235,5,5,3,0%,0,0,0,0,0,0,0,0
287,5,4,3,0%,0,0,0,0,0,0,0,0
711,20,15,10,90%,9,0,9,0,0,0,0,0
449,15,12,8,63%,5,0,5,0,0,0,0,0
425,15,12,10,70%,7,0,7,0,0,0,0,0
350,15,10,8,100%,8,0,8,0,0,0,0,0
337,15,8,8,50%,4,0,4,0,0,0,0,0
"2,141",25,20,19,84%,16,0,16,0,0,0,0,0
729,10,8,7,100%,7,0,7,0,0,0,0,0
132,83,60,16,38%,6,0,6,0,0,0,0,0
26,5,4,4,0%,0,0,0,0,0,0,0,0
108,57,34,7,57%,4,0,4,0,0,0,0,0
165,117,80,38,26%,10,0,10,0,0,0,0,0
68,56,38,19,53%,10,0,10,0,0,0,0,0
4,3,3,0,0%,0,0,0,0,0,0,0,0
58,30,25,9,22%,2,0,2,0,0,0,0,0
17,13,11,3,33%,1,0,1,0,0,0,0,0
426,275,179,83,47%,39,0,39,0,0,0,0,0
34,24,12,1,100%,1,0,1,0,0,0,0,0
170,148,107,47,55%,26,0,26,0,0,0,0,0
19,19,13,3,67%,2,0,2,0,0,0,0,0
239,40,31,17,41%,7,0,7,0,0,0,0,0
246,5,1,1,100%,1,0,1,0,0,0,0,0
87,5,3,0,0%,0,0,0,0,0,0,0,0
140,20,13,7,43%,3,0,3,0,0,0,0,0
46,5,5,2,50%,1,0,1,0,0,0,0,0
170,20,16,5,60%,3,0,3,0,0,0,0,0
66,5,4,1,0%,0,0,0,0,0,0,0,0
130,30,19,15,73%,11,0,11,0,0,0,0,0
25,5,5,2,0%,0,0,0,0,0,0,0,0
20,5,4,0,0%,0,0,0,0,0,0,0,0
9,5,3,2,50%,1,0,1,0,0,0,0,0
23,17,13,2,0%,0,0,0,0,0,0,0,0
9,3,2,1,100%,1,0,1,0,0,0,0,0
36,25,13,3,0%,0,0,0,0,0,0,0,0
39,31,24,9,22%,2,0,2,0,0,0,0,0
15,8,5,0,0%,0,0,0,0,0,0,0,0
113,5,5,5,20%,1,0,1,0,0,0,0,0
35,5,5,2,50%,1,0,1,0,0,0,0,0
100,10,7,3,33%,1,0,1,0,0,0,0,0
51,5,1,1,100%,1,0,1,0,0,0,0,0
164,10,8,5,80%,4,0,4,0,0,0,0,0
71,5,5,3,33%,1,0,1,0,0,0,0,0
180,10,8,6,67%,4,0,4,0,0,0,0,0
79,5,2,1,0%,0,0,0,0,0,0,0,0
67,5,3,0,0%,0,0,0,0,0,0,0,0
143,10,9,7,57%,4,0,4,0,0,0,0,0
209,10,7,4,25%,1,0,1,0,0,0,0,0
50,5,2,2,0%,0,0,0,0,0,0,0,0
1,1,0,0,0%,0,0,0,0,0,0,0,0
17,13,8,1,100%,1,0,1,0,0,0,0,0
5,4,2,1,0%,0,0,0,0,0,0,0,0
4,3,2,1,0%,0,0,0,0,0,0,0,0
12,5,3,1,0%,0,0,0,0,0,0,0,0
381,99,63,46,67%,10,21,31,2,17,1,1,0
168,29,19,9,56%,5,0,5,0,0,0,0,0
104,20,10,6,67%,4,0,4,0,0,0,0,0
78,15,8,6,50%,0,3,3,0,3,0,0,0
185,20,10,6,83%,1,4,5,0,4,0,0,0
112,5,5,3,0%,0,0,0,0,0,0,0,0
225,5,4,3,33%,0,1,1,1,0,0,0,0
56,10,5,5,40%,0,2,2,0,2,0,0,0
120,5,2,0,0%,0,0,0,0,0,0,0,0
62,10,7,5,80%,2,2,4,1,1,0,0,0
69,3,2,1,0%,0,0,0,0,0,0,0,0
171,3,3,2,50%,1,0,1,0,0,0,0,0
50,3,2,1,100%,1,0,1,0,0,0,0,0
123,3,3,2,100%,2,0,2,0,0,0,0,0
90,3,1,1,100%,1,0,1,0,0,0,0,0
153,3,1,1,100%,1,0,1,0,0,0,0,0
72,3,2,2,50%,1,0,1,0,0,0,0,0
69,2,2,1,100%,1,0,1,0,0,0,0,0
87,3,2,2,50%,1,0,1,0,0,0,0,0
102,3,3,1,100%,1,0,1,0,0,0,0,0
84,3,3,2,100%,2,0,2,0,0,0,0,0
236,3,3,2,0%,0,0,0,0,0,0,0,0
164,3,2,1,100%,1,0,1,0,0,0,0,0
134,5,5,4,100%,4,0,4,0,0,0,0,0
88,20,16,10,90%,9,0,9,0,0,0,0,0
93,19,10,9,56%,5,0,5,0,0,0,0,0
324,39,27,22,59%,8,5,13,0,3,1,0,1
42,30,21,12,92%,11,0,11,0,0,0,0,0
324,12,11,8,88%,7,0,7,0,0,0,0,0
43,10,10,7,86%,6,0,6,0,0,0,0,0
33,10,7,5,100%,5,0,5,0,0,0,0,0
73,3,0,0,0%,0,0,0,0,0,0,0,0
119,5,5,3,67%,0,2,2,0,1,1,0,0
48,5,3,3,67%,2,0,2,0,0,0,0,0
221,5,3,3,33%,0,1,1,0,1,0,0,0
105,5,5,4,50%,2,0,2,0,0,0,0,0
225,3,3,3,100%,0,3,3,0,2,1,0,0
35,10,6,6,83%,5,0,5,0,0,0,0,0
14,5,2,2,50%,1,0,1,0,0,0,0,0
50,10,5,3,33%,1,0,1,0,0,0,0,0
23,5,4,1,0%,0,0,0,0,0,0,0,0
14,5,2,2,50%,1,0,1,0,0,0,0,0
21,5,2,1,0%,0,0,0,0,0,0,0,0
88,10,8,3,0%,0,0,0,0,0,0,0,0
72,9,3,1,100%,1,0,1,0,0,0,0,0
81,10,5,4,75%,3,0,3,0,0,0,0,0
15,3,0,0,0%,0,0,0,0,0,0,0,0
98,15,10,8,75%,6,0,6,0,0,0,0,0
38,4,3,2,50%,1,0,1,0,0,0,0,0
70,5,4,2,100%,2,0,2,0,0,0,0,0
30,5,4,4,25%,1,0,1,0,0,0,0,0
28,5,3,3,67%,2,0,2,0,0,0,0,0
163,5,2,1,0%,0,0,0,0,0,0,0,0
71,5,4,4,75%,3,0,3,0,0,0,0,0
26,5,5,4,75%,0,3,3,1,2,0,0,0
56,20,13,9,33%,3,0,3,0,0,0,0,0
27,20,11,9,11%,0,1,1,0,1,0,0,0
44,20,14,9,11%,1,0,1,0,0,0,0,0
117,24,16,8,50%,0,4,4,1,1,2,0,0
53,15,12,7,71%,4,1,5,0,1,0,0,0
71,20,16,12,33%,2,2,4,1,1,0,0,0
65,20,15,14,50%,7,0,7,0,0,0,0,0
39,15,12,9,33%,3,0,3,0,0,0,0,0
28,5,1,1,0%,0,0,0,0,0,0,0,0
63,10,6,2,50%,1,0,1,0,0,0,0,0
107,4,2,2,50%,0,1,1,0,0,1,0,0
70,5,4,4,25%,1,0,1,0,0,0,0,0
66,15,7,5,60%,3,0,3,0,0,0,0,0
79,20,13,10,30%,0,3,3,0,2,1,0,0
14,3,2,1,100%,1,0,1,0,0,0,0,0
8,3,2,2,50%,1,0,1,0,0,0,0,0
8,3,3,3,0%,0,0,0,0,0,0,0,0
6,3,3,3,0%,0,0,0,0,0,0,0,0
9,3,2,1,0%,0,0,0,0,0,0,0,0
17,3,1,1,0%,0,0,0,0,0,0,0,0
14,5,5,4,50%,2,0,2,0,0,0,0,0
18,5,3,3,67%,2,0,2,0,0,0,0,0
27,20,9,2,50%,1,0,1,0,0,0,0,0
22,5,3,0,0%,0,0,0,0,0,0,0,0
154,5,4,2,0%,0,0,0,0,0,0,0,0
46,5,4,3,67%,2,0,2,0,0,0,0,0
89,10,9,8,50%,4,0,4,0,0,0,0,0
40,5,4,2,50%,1,0,1,0,0,0,0,0
123,15,14,9,67%,6,0,6,0,0,0,0,0
52,4,2,0,0%,0,0,0,0,0,0,0,0
125,10,9,5,60%,3,0,3,0,0,0,0,0
40,5,2,1,100%,1,0,1,0,0,0,0,0
40,5,4,1,0%,0,0,0,0,0,0,0,0
200,20,16,11,82%,9,0,9,0,0,0,0,0
215,15,13,11,82%,9,0,9,0,0,0,0,0
239,3,3,1,100%,1,0,1,0,0,0,0,0
66,3,2,1,0%,0,0,0,0,0,0,0,0
175,3,3,2,0%,0,0,0,0,0,0,0,0
144,3,3,1,0%,0,0,0,0,0,0,0,0
232,3,2,2,0%,0,0,0,0,0,0,0,0
97,3,2,2,50%,1,0,1,0,0,0,0,0
93,3,2,2,0%,0,0,0,0,0,0,0,0
114,3,2,2,50%,1,0,1,0,0,0,0,0
137,3,3,3,67%,2,0,2,0,0,0,0,0
129,5,5,3,100%,3,0,3,0,0,0,0,0
277,5,3,1,0%,0,0,0,0,0,0,0,0
186,5,5,3,100%,3,0,3,0,0,0,0,0
153,5,5,4,50%,2,0,2,0,0,0,0,0
110,5,5,4,100%,4,0,4,0,0,0,0,0
93,5,2,2,100%,2,0,2,0,0,0,0,0
46,10,8,6,0%,0,0,0,0,0,0,0,0
68,10,9,4,25%,1,0,1,0,0,0,0,0
26,10,9,2,0%,0,0,0,0,0,0,0,0
54,5,4,3,33%,1,0,1,0,0,0,0,0
60,5,3,1,0%,0,0,0,0,0,0,0,0
93,5,4,2,50%,1,0,1,0,0,0,0,0
31,2,2,1,0%,0,0,0,0,0,0,0,0
100,5,3,1,100%,1,0,1,0,0,0,0,0
79,1,1,0,0%,0,0,0,0,0,0,0,0
100,5,4,4,50%,2,0,2,0,0,0,0,0
41,5,5,3,0%,0,0,0,0,0,0,0,0
39,10,7,4,0%,0,0,0,0,0,0,0,0
94,20,19,13,15%,2,0,2,0,0,0,0,0
83,5,5,4,0%,0,0,0,0,0,0,0,0
112,19,17,14,21%,3,0,3,0,0,0,0,0
100,10,9,3,100%,3,0,3,0,0,0,0,0
30,10,9,4,25%,1,0,1,0,0,0,0,0
53,5,4,2,0%,0,0,0,0,0,0,0,0
55,15,12,8,50%,4,0,4,0,0,0,0,0
91,5,4,4,25%,1,0,1,0,0,0,0,0
55,4,4,2,0%,0,0,0,0,0,0,0,0
16,5,4,1,0%,0,0,0,0,0,0,0,0
36,10,8,6,17%,1,0,1,0,0,0,0,0
11,5,2,2,0%,0,0,0,0,0,0,0,0
49,14,12,7,57%,4,0,4,0,0,0,0,0
25,5,4,2,0%,0,0,0,0,0,0,0,0
45,10,8,6,33%,2,0,2,0,0,0,0,0
16,5,2,0,0%,0,0,0,0,0,0,0,0
16,5,3,3,0%,0,0,0,0,0,0,0,0
81,20,16,12,33%,4,0,4,0,0,0,0,0
78,10,9,9,44%,4,0,4,0,0,0,0,0
64,2,2,2,50%,1,0,1,0,0,0,0,0
25,3,3,3,67%,2,0,2,0,0,0,0,0
52,3,3,2,100%,2,0,2,0,0,0,0,0
50,3,2,2,50%,1,0,1,0,0,0,0,0
69,3,3,3,67%,2,0,2,0,0,0,0,0
32,3,2,1,100%,1,0,1,0,0,0,0,0
31,3,2,2,100%,2,0,2,0,0,0,0,0
32,2,2,2,100%,2,0,2,0,0,0,0,0
31,3,2,1,0%,0,0,0,0,0,0,0,0
32,3,3,2,100%,2,0,2,0,0,0,0,0
62,3,2,2,100%,2,0,2,0,0,0,0,0
44,3,3,1,100%,1,0,1,0,0,0,0,0
24,5,4,3,0%,0,0,0,0,0,0,0,0
36,5,2,1,100%,1,0,1,0,0,0,0,0
40,5,3,3,33%,1,0,1,0,0,0,0,0
49,10,7,6,50%,3,0,3,0,0,0,0,0
32,9,5,3,100%,3,0,3,0,0,0,0,0
46,10,5,4,50%,2,0,2,0,0,0,0,0
11,10,8,2,0%,0,0,0,0,0,0,0,0
108,2,1,1,100%,0,1,1,1,0,0,0,0
24,2,2,0,0%,0,0,0,0,0,0,0,0
29,3,2,0,0%,0,0,0,0,0,0,0,0
40,2,1,1,0%,0,0,0,0,0,0,0,0
47,3,3,2,50%,1,0,1,0,0,0,0,0
33,2,2,1,100%,1,0,1,0,0,0,0,0
44,5,4,2,0%,0,0,0,0,0,0,0,0
31,10,8,6,50%,3,0,3,0,0,0,0,0
36,10,6,3,0%,0,0,0,0,0,0,0,0
9,7,4,3,0%,0,0,0,0,0,0,0,0
19,2,2,2,0%,0,0,0,0,0,0,0,0
13,5,4,3,33%,1,0,1,0,0,0,0,0
49,6,3,3,67%,2,0,2,0,0,0,0,0
26,10,3,1,0%,0,0,0,0,0,0,0,0
8,2,1,1,100%,1,0,1,0,0,0,0,0
41,5,3,2,100%,0,2,2,0,1,1,0,0
16,3,1,1,0%,0,0,0,0,0,0,0,0
11,3,3,2,50%,1,0,1,0,0,0,0,0
4,2,2,1,0%,0,0,0,0,0,0,0,0
11,3,1,0,0%,0,0,0,0,0,0,0,0
17,3,1,0,0%,0,0,0,0,0,0,0,0
16,3,2,1,0%,0,0,0,0,0,0,0,0
7,5,4,4,50%,2,0,2,0,0,0,0,0
14,5,4,4,50%,2,0,2,0,0,0,0,0
16,4,4,2,0%,0,0,0,0,0,0,0,0
6,3,3,1,0%,0,0,0,0,0,0,0,0
6,4,4,1,0%,0,0,0,0,0,0,0,0
5,1,1,0,0%,0,0,0,0,0,0,0,0
10,2,2,1,0%,0,0,0,0,0,0,0,0
9,5,5,2,0%,0,0,0,0,0,0,0,0
63,20,11,0,0%,0,0,0,0,0,0,0,0
14,10,6,0,0%,0,0,0,0,0,0,0,0
75,10,8,0,0%,0,0,0,0,0,0,0,0
122,40,28,5,40%,2,0,2,0,0,0,0,0
52,5,3,1,100%,1,0,1,0,0,0,0,0
66,10,5,0,0%,0,0,0,0,0,0,0,0
107,50,36,31,35%,0,11,11,0,5,3,3,0
"25,241","8,500",0,0,0%,0,0,0,0,0,0,0,0
